State , ARG    , COND   , GLOBVARS , INSTRUC , LOCVARS , BODY   , CONST  , BINOP  , PROG   , PROGPRIME , COMMAND , UNOP   , EPILOG , SIMPLE , OP     , FUNCTIONS , VTYP   , COMPOSIT , ALGO   , ASSIGN , FNAME  , TERM   , ATOMIC , DECL   , VNAME  , HEADER , SUBFUNCS , PROLOG , BRANCH , <input , eq     , then   , halt   , not    , main   , T_Token , mul    , ;      , V_Token , sub    , if     , else   , N_Token , end    , {      , grt    , or     , div    , sqrt   , and    , =      , F_Token , $      , void   , return , (      ," ,      ", begin  , add    , )      , num    , }      , text   , skip   , print 
S1923 , error  , error  , error    , error   , error   , error  , error  , error  , error  , error     , error   , error  , error  , error  , error  , error     , error  , error    , error  , error  , error  , error  , error  , error  , error  , error  , error    , error  , error  , error  , error  , error  , error  , error  , error  , error   , error  , R28    , error   , error  , error  , error  , error   , error  , error  , error  , error  , error  , error  , error  , error  , error   , error  , error  , error  , error  , error  , error  , error  , error  , error  , error  , error  , error  , error 
S1922 , error  , error  , error    , error   , error   , error  , error  , error  , error  , error     , error   , error  , error  , error  , error  , error     , error  , error    , error  , error  , error  , error  , error  , error  , error  , error  , error    , error  , error  , error  , error  , error  , error  , error  , error  , error   , error  , error  , error   , error  , error  , error  , error   , error  , error  , error  , error  , error  , error  , error  , error  , error   , error  , error  , error  , error  , error  , R60    , error  , error  , error  , error  , error  , error  , error 
S1921 , error  , error  , error    , error   , error   , error  , error  , error  , error  , error     , error   , error  , error  , error  , error  , error     , error  , error    , error  , error  , error  , error  , error  , error  , error  , error  , error    , error  , error  , error  , error  , error  , error  , error  , error  , error   , error  , error  , error   , error  , error  , error  , error   , error  , error  , error  , error  , error  , error  , error  , error  , error   , error  , error  , error  , error  , error  , error  , error  , S1923  , error  , error  , error  , error  , error 
S1920 , error  , error  , error    , error   , error   , error  , error  , error  , error  , error     , error   , error  , error  , error  , error  , error     , error  , error    , error  , error  , error  , error  , error  , error  , error  , error  , error    , error  , error  , error  , error  , error  , error  , error  , error  , error   , error  , error  , error   , error  , error  , error  , error   , error  , R55    , error  , error  , error  , error  , error  , error  , error   , error  , error  , error  , error  , error  , error  , error  , error  , error  , error  , error  , error  , error 
S1919 , error  , error  , error    , error   , error   , error  , error  , error  , error  , error     , error   , error  , error  , error  , error  , error     , error  , error    , error  , error  , error  , error  , error  , error  , error  , error  , error    , error  , error  , error  , error  , error  , error  , error  , error  , error   , error  , error  , error   , error  , error  , error  , error   , error  , R54    , error  , error  , error  , error  , error  , error  , error   , error  , error  , error  , error  , error  , error  , error  , error  , error  , error  , error  , error  , error 
S1918 , error  , error  , error    , error   , error   , error  , error  , error  , error  , error     , error   , error  , error  , error  , error  , error     , error  , error    , error  , error  , error  , error  , error  , error  , error  , error  , error    , error  , error  , error  , error  , error  , error  , error  , error  , error   , error  , error  , error   , error  , error  , error  , error   , error  , error  , error  , error  , error  , error  , error  , error  , error   , error  , error  , error  , error  , S1922  , error  , error  , error  , error  , error  , error  , error  , error 
S1917 , error  , error  , error    , error   , error   , error  , error  , error  , error  , error     , error   , error  , error  , error  , error  , error     , error  , error    , error  , error  , error  , error  , G1921  , error  , error  , error  , error    , error  , error  , error  , error  , error  , error  , error  , error  , error   , error  , error  , error   , error  , error  , error  , error   , error  , error  , error  , error  , error  , error  , error  , error  , error   , error  , error  , error  , error  , error  , error  , error  , error  , error  , error  , error  , error  , error 
S1848 , G1865  , error  , error    , error   , error   , error  , error  , error  , error  , error     , error   , error  , error  , G1863  , error  , error     , error  , error    , error  , error  , error  , error  , G1864  , error  , error  , error  , error    , error  , error  , error  , error  , error  , error  , error  , error  , error   , error  , error  , error   , error  , error  , error  , error   , error  , error  , error  , error  , error  , error  , error  , error  , error   , error  , error  , error  , error  , error  , error  , error  , error  , error  , error  , error  , error  , error 
S1847 , error  , error  , error    , error   , error   , error  , error  , error  , error  , error     , error   , error  , error  , error  , error  , error     , error  , error    , error  , error  , error  , error  , G1862  , error  , error  , error  , error    , error  , error  , error  , error  , error  , error  , error  , error  , error   , error  , error  , error   , error  , error  , error  , error   , error  , error  , error  , error  , error  , error  , error  , error  , error   , error  , error  , error  , error  , error  , error  , error  , error  , error  , error  , error  , error  , error 
S1846 , error  , error  , error    , error   , error   , error  , error  , error  , error  , error     , error   , error  , error  , error  , error  , error     , error  , error    , error  , error  , error  , error  , error  , error  , error  , error  , error    , error  , error  , error  , error  , error  , error  , error  , error  , error   , error  , error  , error   , error  , error  , error  , error   , error  , error  , error  , error  , error  , error  , error  , error  , error   , error  , error  , error  , S1861  , error  , error  , error  , error  , error  , error  , error  , error  , error 
